date,state,positives,negatives,deaths,hospitalized
20200304,GA,0,0,0,0
20200305,GA,0,0,0,0
20200306,GA,0,0,0,0
20200307,GA,4,0,0,0
20200308,GA,1,0,0,0
20200309,GA,5,0,0,0
20200310,GA,5,0,0,0
20200311,GA,5,0,0,0
20200312,GA,9,0,0,0
20200313,GA,11,0,1,0
20200314,GA,24,0,0,0
20200315,GA,33,0,0,0
20200316,GA,22,0,0,0
20200317,GA,25,0,0,0
20200318,GA,51,1311,0,0
20200319,GA,90,233,9,0
20200320,GA,133,422,3,0
20200321,GA,87,591,1,0
20200322,GA,93,863,9,0
20200323,GA,172,877,2,0
20200324,GA,254,161,7,0
20200325,GA,221,474,8,394
20200326,GA,278,2469,8,79
20200327,GA,476,463,16,93
20200328,GA,365,821,5,51
20200329,GA,285,1228,11,49
20200330,GA,158,2,7,41
20200331,GA,1120,2337,24,126
20200401,GA,709,3436,28,119
20200402,GA,710,1921,24,104
20200403,GA,483,1825,21,102
20200404,GA,329,700,17,81
20200405,GA,487,1051,10,44
20200406,GA,667,2775,18,49
20200407,GA,1504,935,100,442
20200408,GA,1083,3991,33,219
20200409,GA,665,1633,17,166
20200410,GA,917,4145,37,192
20200411,GA,676,4892,12,128
20200412,GA,293,2445,5,26
20200413,GA,863,1705,31,84
20200414,GA,908,3866,37,180
20200415,GA,764,1531,51,153
20200416,GA,682,3167,35,186
20200417,GA,1525,2220,63,216
20200418,GA,475,2049,23,96
20200419,GA,632,5093,14,44
20200420,GA,646,3749,46,86
20200421,GA,934,2878,66,229
20200422,GA,859,5073,37,180
20200423,GA,772,6218,36,110
20200424,GA,635,5479,20,152
20200425,GA,548,11290,12,105
20200426,GA,706,3503,8,33
20200427,GA,512,3434,59,322
20200428,GA,702,12149,55,133
20200429,GA,1008,2750,67,242
20200430,GA,532,4734,27,100
20200501,GA,1115,18208,34,113
20200502,GA,1036,5397,20,118
20200503,GA,296,0,3,6
20200504,GA,766,7463,45,133
20200505,GA,343,17215,66,108
20200506,GA,985,2269,23,131
20200507,GA,743,12423,25,70
20200508,GA,667,9597,41,100
20200509,GA,426,7331,23,52
20200510,GA,909,7314,5,10
20200511,GA,486,7255,36,18
20200512,GA,708,10183,20,115
20200513,GA,697,11028,44,129
20200514,GA,526,11451,22,86
20200515,GA,823,15170,30,93
20200516,GA,466,18729,35,297
20200517,GA,554,29552,14,55
20200518,GA,380,12734,36,126
20200519,GA,640,13227,22,111
20200520,GA,926,23858,23,80
20200521,GA,758,4033,67,128
20200522,GA,813,18705,31,78
20200523,GA,914,25374,26,98
20200524,GA,706,27711,13,28
20200525,GA,506,31085,6,36
20200526,GA,386,1014,41,72
20200527,GA,691,74880,36,119
20200528,GA,649,3241,55,101
20200529,GA,600,5025,12,85
20200530,GA,616,3951,29,69
20200531,GA,700,9987,39,25
20200601,GA,632,5474,32,181
20200602,GA,589,2067,28,207
20200603,GA,687,7738,21,85
20200604,GA,953,12666,24,138
20200605,GA,774,10683,27,89
20200606,GA,688,14381,0,16
20200607,GA,589,16438,6,23
20200608,GA,599,8892,28,61
20200609,GA,752,7056,77,126
20200610,GA,731,13041,44,102
20200611,GA,993,12293,46,99
20200612,GA,810,6907,43,108
20200613,GA,1018,6704,28,43
20200614,GA,880,20230,5,24
20200615,GA,733,8973,43,74
20200616,GA,664,3818,35,132
20200617,GA,952,14537,46,89
20200618,GA,882,11855,30,120
20200619,GA,1097,6005,31,109
20200620,GA,1800,22278,6,65
20200621,GA,892,3031,1,0
20200622,GA,1227,8492,5,116
20200623,GA,1750,21485,40,170
20200624,GA,1703,10270,10,190
20200625,GA,1714,12976,47,144
20200626,GA,1900,11204,25,148
20200627,GA,1990,16795,6,84
20200628,GA,2225,14900,2,22
20200629,GA,2207,13972,6,113
20200630,GA,1874,8887,21,227
20200701,GA,2946,18214,22,224
20200702,GA,3472,24729,22,225
20200703,GA,2784,15194,7,153
20200704,GA,2826,22316,1,90
20200705,GA,2197,20629,3,32
20200706,GA,1548,8220,18,144
20200707,GA,3406,17093,21,307
20200708,GA,3420,17537,23,274
20200709,GA,2837,16176,8,106
20200710,GA,4484,22442,35,331
20200711,GA,3190,15335,31,268
20200712,GA,2525,16018,5,54
20200713,GA,3643,20908,25,217
20200714,GA,3394,19673,28,209
20200715,GA,3871,20078,37,417
20200716,GA,3441,19798,13,244
20200717,GA,3908,16548,28,301
20200718,GA,4689,28439,36,314
20200719,GA,3251,20262,5,49
20200720,GA,2452,16010,3,37
20200721,GA,3413,18097,78,447
20200722,GA,3314,18239,81,428
20200723,GA,4286,15808,25,431
20200724,GA,4813,40693,82,399
20200725,GA,3787,21609,53,277
20200726,GA,2765,18340,3,62
20200727,GA,2890,21128,11,47
20200728,GA,4209,30154,54,406
20200729,GA,3271,21867,79,420
20200730,GA,3963,24962,29,339
20200731,GA,4066,29232,81,386
20200801,GA,3660,17738,73,306
20200802,GA,3165,25390,15,69
20200803,GA,2258,19503,2,60
20200804,GA,2513,15498,79,302
20200805,GA,3765,27047,63,362
20200806,GA,3182,26356,42,214
20200807,GA,4109,24258,91,280
20200808,GA,4423,40414,69,274
20200809,GA,3169,33913,13,72
20200810,GA,2429,24485,30,48
20200811,GA,3563,29960,122,355
20200812,GA,3565,17692,105,348
20200813,GA,2515,23353,82,202
20200814,GA,3227,24216,35,237
20200815,GA,3273,14740,96,210
20200816,GA,1862,15345,33,59
