date,state,positiveIncrease,negativeIncrease,deathIncrease,hospitalizedIncrease
20200816,AK,106,4732,0,0
20200816,AL,853,8554,2,0
20200816,AR,673,33117,-1,8
20200816,AS,0,0,0,0
20200816,AZ,883,13900,14,-40
20200816,CA,7873,109151,77,0
20200816,CO,300,5680,0,9
20200816,CT,0,0,0,0
20200816,DC,61,3575,0,0
20200816,DE,55,1569,0,0
20200816,FL,3779,26124,107,267
20200816,GA,2500,15345,33,59
20200816,GU,14,663,0,0
20200816,HI,282,2751,0,2
20200816,IA,635,4484,2,0
20200816,ID,304,1906,4,12
20200816,IL,1562,35527,18,0
20200816,IN,739,8497,5,63
20200816,KS,0,0,0,0
20200816,KY,385,0,3,0
20200816,LA,1181,19894,77,0
20200816,MA,303,15164,11,3
20200816,MD,519,14239,3,58
20200816,ME,24,2845,0,1
20200816,MI,477,28794,6,0
20200816,MN,739,8842,7,29
20200816,MO,1078,9099,21,0
20200816,MP,0,0,0,0
20200816,MS,381,0,4,0
20200816,MT,91,897,0,2
20200816,NC,1246,19999,4,0
20200816,ND,143,1512,0,2
20200816,NE,253,2940,0,3
20200816,NH,8,1544,0,2
20200816,NJ,13,28790,2,9
20200816,NM,142,6107,8,11
20200816,NV,697,3916,3,0
20200816,NY,607,77085,6,0
20200816,OH,613,26682,2,26
20200816,OK,544,0,4,15
20200816,OR,244,3674,2,0
20200816,PA,660,12519,3,0
20200816,PR,311,0,6,0
20200816,RI,0,0,0,0
20200816,SC,615,6586,9,0
20200816,SD,156,1169,1,3
20200816,TN,1961,25621,21,34
20200816,TX,6744,110621,143,0
20200816,UT,331,3295,0,11
20200816,VA,937,15671,0,2
20200816,VI,7,47,0,0
20200816,VT,6,1032,0,0
20200816,WA,746,0,11,24
20200816,WI,699,5414,1,29
20200816,WV,107,4988,0,0
20200816,WY,59,0,0,0
20200815,AK,85,663,1,0
20200815,AL,1271,10762,3,151
20200815,AR,-400,0,13,-4
20200815,AS,0,118,0,0
20200815,AZ,933,8683,69,280
20200815,CA,12614,111899,151,0
20200815,CO,319,6640,5,18
20200815,CT,0,0,0,0
20200815,DC,41,2870,3,0
20200815,DE,56,1230,0,0
20200815,FL,6352,35808,204,506
20200815,GA,3500,14740,96,210
20200815,GU,0,0,0,0
